modelo,fabricacao,quantidade,quantidade_total
CRUZE LT 1.8 16V FLEXPOWER,2015,1,4
CAPTUR ICONIC 1.3 TB 16V FLEX,2021,1,4
PRISMA SED. ADVANT. 1.0 8V FLE,2014,1,4
VM 260 6X2 2p (diesel),2009,1,4
COROLLA ALTIS PREM. HYBRID 1.8,2022,1,4
ONIX HATCH LT 1.0 8V FLEXPOWER,2015,1,4
HB20 SEDAN 1.6 COMFORT PLUS,2013,1,4
SAVEIRO TRENDLINE 1.6 FLEX,2020,1,4
TORO FREEDOM 1.3 T270 4X2 FLEX,2021,1,4
KWID OUTSIDER 1.0 Flex 12V 5p,2019,1,4
Clio Hi-Flex 1.0 16V 5p,2010,1,4
