modelo,fabricacao,quantidade
IX35 GLS 2.0 16V 2WD FLEX AUT.,2013,2
ATRON 1635 S (E5),2014,1
MONTANA LS 1.4 ECONOFLEX,2013,2
COROLLA CROSS XRV 1.8 16V AUT.,2021,1
UNO WAY CELEB. 1.0 EVO FIRE FL,2012,1
CELTA LT 1.0 MPFI FLEX,2011,1
Corsa Hat. Maxx 1.4 8V ECONOFLEX 5p,2012,1
FIT LX 1.5 FLEXONE 16V,2015,1
ARGO DRIVE 1.0 6V FLEX,2019,5
Palio Weekend ELX 1.0 mpi Fire 16V,2001,1
ONIX HATCH LT 1.4 8V FlexPower 5p Mec.,2013,1
Palio ELX 1.0 4p,1999,1
T-Cross Sense 1.0 TSI Flex 5p Aut.,2022,1
Hilux SW4 SRV D4-D 4x4 3.0 TDI Dies. Aut,2012,2
VM 220 4X2 (E5),2014,1
ONIX HATCH PREM. 1.0 12V TB FL,2020,1
YBR 150 FACTOR ED,2017,1
MONTANA LS 1.4 ECONOFLEX,2011,2
VOYAGE COMFORTLINE 1.6 MI TOTA,2015,1
ECOSPORT TITANIUM 2.0 16V FLEX,2014,1
MOBI LIKE 1.0 FIRE FLEX 4P.,2019,2
CELTA LS 1.0 MPFI FLEX,2008,2
KA 1.5 16V FLEX,2018,1
FIT EXL 1.5 FLEX/FLEXONE 16V 5,2016,1
Yaris,2021,1
24-250 E CONSTELLATION,2010,1
C4 CACTUS FEEL PACK 1.6 16V FL,2020,1
COMMANDER OVERL. TD380 2.0 4X4,2021,1
METEOR 28.460 6X2 2P (DIESEL)(,2020,1
AGILE LT 1.4 FLEX,2012,1
C 180,2015,1
P 340 A 6X2,2010,1
SANDERO Expression Hi-Flex 1.0 16V 5p,2012,1
MOBI EASY 1.0 FIRE FLEX,2017,2
GOL CITY (TREND) 1.0 TOTAL FLE,2010,1
Leaf Tekna - 2022/2023,2022,1
208 ALLURE 1.6 FLEX 16V   AUT.,2021,3
KA 1.5 SE PLUS 12V FLEX 4P AUT,2019,1
HB20 SEDAN 1.6 PREMIUM,2015,1
OUTLANDER 3.0 aut,2016,1
L200 TRITON SPORT GLS 2.4 CD D,2021,1
FH 13 460 GLOBETROTTER 6X2 (E5,2013,3
S 10 PICK-UP LTZ 2.8 CD 4X4 TD,2023,1
HILUX CD SRV 4X4 2.8 TDI DIESE,2016,1
SAVEIRO 1.6 MI/ 1.6 TOTAL FLEX,2013,1
ATRON 1635 S 2p (diesel) (E5),2017,1
YBR 150 FACTOR ED,2020,1
HB20S PLATINUM PLUS 1.0 TB FLE,2023,1
UNO VIVACE CELEB. 1.0 EVO FIRE,2012,1
AGILE LTZ 1.4 FLEX,2011,1
CRV EXL 2.0 16V 4WD,2012,2
LOGAN EXPRES. AVANTAGE FLEX 1.,2019,1
XC 60 T-8 HIBRIDO MOMENTUM 2.0,2021,1
VT 600 C SHADOW,2001,1
Vectra GL 2.0 MPFI,1998,1
KA 1.0 FLEX,2011,1
HR 2.5 TCI Diesel (RD,2015,1
IVECO-DAILY CHASSI 35S14 (E5),2014,1
30-330 CONSTELLATION 8X2 2P (D,2019,1
TORO RANCH 2.0 16V 4X4 DIESEL,2020,1
FOX CITY 1.0 MI TOTAL FLEX,2008,1
CRV LX 2.0 16V 2WD,2010,1
Celta LT 1.0 MPFI 8V FlexP. 5p,2014,1
MONTANA LS 1.4 ECONOFLEX 8V 2p,2016,1
F-150 Raptor,2010,1
JETTA 2.0 TIPTRONIC FLEX,2012,1
LOGAN SEDAN EXPRESSION 1.0 16V,2013,1
RANGER XLS 2.2 4X2 CD DIESEL A,2020,1
C3 TENDANCE 1.5 FLEX,2013,1
ACCELO 1316 6X2 2P (DIESEL)(E5,2022,1
Celta Spirit 1.0 MPFI 8V FlexPower 3p,2005,1
Clio Sed. Authentique Hi-Flex 1.6 16V 4p,2006,1
FUSCA 2.0 R-LINE TSI 16V,2015,1
STRADA 1.4 MPI FIRE FLEX,2011,1
XF 105 FTT 510 6X4 (DIESEL)(E5,2018,1
CITY HATCHBACK TOURING 1.5 FLE,2022,1
ETIOS XS SD 1.5,2014,1
Cayenne S 4.5,2012,1
HB20 SEDAN 1.6 COMFORT PLUS,2015,1
Uno Mille EP 2p e 4p,1995,1
Corsa Wind 1.0 EFI 2p,2000,1
330e M Sport 2.0 Turbo Híbrido Aut.,2022,1
Sorento EX 3.8 V6 24V 267cv 4x4 Aut.,2008,1
SPIN LT 1.8 8V Econo.Flex 5p Aut.,2014,1
ETIOS X HB 1.3,2015,2
Fit EX 1.5 Aut,2005,1
S 10 PICK-UP LT 2.4 CD FLEX PO,2013,1
Celta Spirit 1.0 MPFI 8V FlexP. 5p,2009,1
ONIX SED. PLUS PREM. 1.0 12V TB FLEX AUT,2022,2
ECOSPORT FREESTYLE 1.6 16V FLE,2015,1
Kwid Outsider 1.0 MT-2021/2022,2022,3
Gol CL 1.6 Mi 2p e 4p,1997,1
SPIN LT 1.8 8V ECONO.FLEX 5P A,2013,1
YARIS XL Plus Con. 1.5 Flex 16V 5p Aut.,2021,2
FOX CITY 1.0 MI TOTAL FLEX,2009,2
GOL SPECIAL 1.0 TOTAL FLEX 8V,2015,2
ONIX SEDAN PLUS 1.0 12V TB FLE,2021,1
Kangoo RN Expression 1.6,2006,1
A3 Sedan 1.4 TB FSI Flex Tiptronic 4p,2018,1
Ka 1.0 SE TiVCT Flex 5p,2015,1
Strada 1.3 mpi Fire 8V 67cv CE,2003,1
HILUX CD SRX 4X4 2.8 TDI 16V D,2021,8
Saveiro TROOPER 1.6 Mi Total Flex 8V CE,2013,1
KA 1.0 8V,2008,1
SANDERO Dynamique Hi-Power 1.6 8V 5p,2014,1
TORO FREEDOM 1.3 T270 4X2 FLEX,2023,1
CG 160 FAN Flex,2019,2
Uno Mille 1.0 Fire Flex 2p,2008,1
Ka+ Sedan 1.5 16V Flex 4p,2018,1
